Date,Views,Unique Visitors
2020-10-22,908,481
2020-10-23,876,475
2020-10-24,653,350
2020-10-25,612,303
2020-10-26,1215,533
2020-10-27,569,306
2020-10-28,309,197
2020-10-29,357,159
2020-10-30,475,227
2020-10-31,596,394
2020-11-01,210,119
2020-11-02,288,150
2020-11-03,279,154
2020-11-04,317,146
2020-11-05,248,115
2020-11-06,146,82
2020-11-07,270,153
2020-11-08,243,150
2020-11-09,161,76
2020-11-10,132,60
2020-11-11,193,120
2020-11-12,127,65
2020-11-13,14,9
2020-11-14,20,12
2020-11-15,154,88
2020-11-16,36,10
2020-11-17,76,52
2020-11-18,67,46
2020-11-19,60,42
2020-11-20,72,41
2020-11-21,60,47
2020-11-22,63,36
2020-11-23,87,48
2020-11-24,56,36
2020-11-25,39,24
2020-11-26,23,17
2020-11-27,132,60
2020-11-28,95,55
2020-11-29,124,59
2020-11-30,93,56
2020-12-01,67,25
2020-12-02,82,43
2020-12-03,62,33
2020-12-04,74,39
2020-12-05,62,38
2020-12-06,90,48
2020-12-07,73,43
2020-12-08,56,30
2020-12-09,46,36
2020-12-10,68,33
2020-12-11,143,39
2020-12-12,46,22
2020-12-13,95,48
2020-12-14,8,6
2020-12-15,94,57
2020-12-16,64,42
2020-12-17,23,16
2020-12-18,55,25
2020-12-19,34,20
2020-12-20,39,19
2020-12-21,25,16
2020-12-22,33,15
2020-12-23,74,38
2020-12-24,32,22
2020-12-25,22,19
2020-12-26,55,40
2020-12-27,47,32
2020-12-28,118,63
2020-12-29,160,83
2020-12-30,169,83
2020-12-31,76,37
