Date,Count,Path,Title,Unique Visitors
2020-10-23,10452,/RaenonX-DL/dragalia-posts/issues/39,【超光牙】20 秒 可農速刷 (3 皇女 + 1 三葉) · Issue #39 · RaenonX-DL/dragalia-posts · GitHub,5641
2020-10-23,7788,/RaenonX-DL/dragalia-posts/issues/40,Master Kai Yan 20s farmable speed run (Veronica x 3 + Mitsuba x 1) · Issue #4...,3744
2020-10-23,4220,/RaenonX-DL/dragalia-posts/issues/37,【高光牙】28 秒 可農速刷 (3 皇女 + 1 德菲) · Issue #37 · RaenonX-DL/dragalia-posts · GitHub,2417
2020-10-23,3295,/RaenonX-DL/dragalia-posts/issues/35,【光牙】農素材用共鬥速刷 整理串 (高 28s / 超 20s) · Issue #35 · RaenonX-DL/dragalia-posts · Gi...,2051
2020-10-23,2470,/RaenonX-DL/dragalia-posts/issues/38,Expert Kai Yan 28s farmable speed run (Veronica x 3 + Delphi x 1) · Issue #38...,1295
2020-10-23,1870,/RaenonX-DL/dragalia-posts/issues/36,Kai Yan farmable speed runs index page · Issue #36 · RaenonX-DL/dragalia-posts,1132
2020-10-23,1773,/RaenonX-DL/dragalia-posts/issues,Issues · RaenonX-DL/dragalia-posts · GitHub,691
2020-10-23,1700,/RaenonX-DL/dragalia-posts/issues/8,【超龍】共鬥速刷 · Issue #8 · RaenonX-DL/dragalia-posts · GitHub,1035
2020-10-23,1414,/RaenonX-DL/dragalia-posts/issues/22,【超火龍】單機 Auto · Issue #22 · RaenonX-DL/dragalia-posts,1110
2020-10-23,1382,/RaenonX-DL/dragalia-posts/issues/31,評測 - 萬聖節梅兒莎 · Issue #31 · RaenonX-DL/dragalia-posts · GitHub,1203
