Date,Count,Path,Title,Unique Visitors
2020-10-27,11236,/RaenonX-DL/dragalia-posts/issues/39,【超光牙】20 秒 可農速刷 (3 皇女 + 1 三葉) · Issue #39 · RaenonX-DL/dragalia-posts · GitHub,6035
2020-10-27,8699,/RaenonX-DL/dragalia-posts/issues/40,Master Kai Yan 20s farmable speed run (Veronica x 3 + Mitsuba x 1) · Issue #4...,4082
2020-10-27,4500,/RaenonX-DL/dragalia-posts/issues/37,【高光牙】28 秒 可農速刷 (3 皇女 + 1 德菲) · Issue #37 · RaenonX-DL/dragalia-posts · GitHub,2562
2020-10-27,3542,/RaenonX-DL/dragalia-posts/issues/35,【光牙】農素材用共鬥速刷 整理串 (高 28s / 超 20s) · Issue #35 · RaenonX-DL/dragalia-posts · Gi...,2213
2020-10-27,2607,/RaenonX-DL/dragalia-posts/issues/38,Expert Kai Yan 28s farmable speed run (Veronica x 3 + Delphi x 1) · Issue #38...,1356
2020-10-27,1957,/RaenonX-DL/dragalia-posts/issues/36,Kai Yan farmable speed runs index page · Issue #36 · RaenonX-DL/dragalia-posts,1178
2020-10-27,1836,/RaenonX-DL/dragalia-posts/issues,Issues · RaenonX-DL/dragalia-posts · GitHub,714
2020-10-27,1400,/RaenonX-DL/dragalia-posts/issues/31,評測 - 萬聖節梅兒莎 · Issue #31 · RaenonX-DL/dragalia-posts · GitHub,1217
2020-10-27,1260,/RaenonX-DL/dragalia-posts/issues/32,評測 - 萬聖節阿迦奢 · Issue #32 · RaenonX-DL/dragalia-posts · GitHub,1105
2020-10-27,755,/RaenonX-DL/dragalia-posts/issues/41,【高光牙】38 秒 不可農禿頭速刷 (3 皇女 + 1 局長) · Issue #41 · RaenonX-DL/dragalia-posts · Git...,665
