Date,Count,Path,Title,Unique Visitors
2020-10-25,11007,/RaenonX-DL/dragalia-posts/issues/39,【超光牙】20 秒 可農速刷 (3 皇女 + 1 三葉) · Issue #39 · RaenonX-DL/dragalia-posts · GitHub,5933
2020-10-25,8458,/RaenonX-DL/dragalia-posts/issues/40,Master Kai Yan 20s farmable speed run (Veronica x 3 + Mitsuba x 1) · Issue #4...,3989
2020-10-25,4426,/RaenonX-DL/dragalia-posts/issues/37,【高光牙】28 秒 可農速刷 (3 皇女 + 1 德菲) · Issue #37 · RaenonX-DL/dragalia-posts · GitHub,2524
2020-10-25,3458,/RaenonX-DL/dragalia-posts/issues/35,【光牙】農素材用共鬥速刷 整理串 (高 28s / 超 20s) · Issue #35 · RaenonX-DL/dragalia-posts · Gi...,2149
2020-10-25,2586,/RaenonX-DL/dragalia-posts/issues/38,Expert Kai Yan 28s farmable speed run (Veronica x 3 + Delphi x 1) · Issue #38...,1348
2020-10-25,1941,/RaenonX-DL/dragalia-posts/issues/36,Kai Yan farmable speed runs index page · Issue #36 · RaenonX-DL/dragalia-posts,1173
2020-10-25,1821,/RaenonX-DL/dragalia-posts/issues,Issues · RaenonX-DL/dragalia-posts · GitHub,712
2020-10-25,1392,/RaenonX-DL/dragalia-posts/issues/31,評測 - 萬聖節梅兒莎 · Issue #31 · RaenonX-DL/dragalia-posts · GitHub,1210
2020-10-25,1252,/RaenonX-DL/dragalia-posts/issues/32,評測 - 萬聖節阿迦奢 · Issue #32 · RaenonX-DL/dragalia-posts · GitHub,1098
2020-10-25,1175,/RaenonX-DL/dragalia-posts/issues/22,"【超火龍】4金龍 單機 Full Auto (通關率 > 98%, 365/370) · Issue #22 · RaenonX-DL/dragalia-...",938
